documentId,paymentId,transactionId,paymentStatus
024bf421-fa3d-11e6-8209-d16697348e01,024bf422-fa3d-11e6-8209-d16697348e01,157233165,CAPTURED
0284a521-e81a-11e6-ab1d-03994f7eb5e4,0284a522-e81a-11e6-ab1d-03994f7eb5e4,150405841,CAPTURED
029718a1-f7a5-11e6-bd16-ef6bd0cdb687,029718a2-f7a5-11e6-bd16-ef6bd0cdb687,156256449,CAPTURED
03d7fb21-e5e0-11e6-a468-e34771d1c204,03d7fb22-e5e0-11e6-a468-e34771d1c204,149704138,CAPTURED
045a7bf1-e82d-11e6-9119-07785fc8d17c,045a7bf2-e82d-11e6-9119-07785fc8d17c,150399057,CAPTURED
060e1b41-e770-11e6-a0a9-87f4bc4b2dd7,060e1b42-e770-11e6-a0a9-87f4bc4b2dd7,150154029,CAPTURED
0ad03c81-e5d6-11e6-babf-c58c0e06c042,0ad06390-e5d6-11e6-babf-c58c0e06c042,149679793,CAPTURED
102f7741-e5e0-11e6-a468-e34771d1c204,102f7742-e5e0-11e6-a468-e34771d1c204,149704134,CAPTURED
14c1bc41-e672-11e6-b472-27432057aca5,14c1bc42-e672-11e6-b472-27432057aca5,149881694,CAPTURED
14d13dd1-e4cb-11e6-9c79-9117e220dabe,14d164e0-e4cb-11e6-9c79-9117e220dabe,149101009,CAPTURED
19a438f1-e758-11e6-a25c-5765baa187fd,19a438f2-e758-11e6-a25c-5765baa187fd,150130709,CAPTURED
1a4d16a1-e438-11e6-a20c-29504ca489e0,1a4d16a2-e438-11e6-a20c-29504ca489e0,148933950,CAPTURED
224e1a61-e72c-11e6-a25c-5765baa187fd,224e1a62-e72c-11e6-a25c-5765baa187fd,150057985,CAPTURED
22edacb1-e5e2-11e6-a468-e34771d1c204,22edacb2-e5e2-11e6-a468-e34771d1c204,149691273,CAPTURED
296b0081-e50e-11e6-bf3e-b30cde314aff,296b0082-e50e-11e6-bf3e-b30cde314aff,149292918,CAPTURED
348c05f1-e823-11e6-ab1d-03994f7eb5e4,348c05f2-e823-11e6-ab1d-03994f7eb5e4,150376882,CAPTURED
3a270141-d491-11e6-94da-ff28a193403e,3a270142-d491-11e6-94da-ff28a193403e,143738613,CAPTURED
3f232720-e533-11e6-b242-977c75277524,3f232721-e533-11e6-b242-977c75277524,149337597,CAPTURED
43f7e461-e66a-11e6-b1fa-470d62ecbf0f,43f7e462-e66a-11e6-b1fa-470d62ecbf0f,149846361,CAPTURED
457d2710-0f36-11e7-8fea-5719027de76b,457d2711-0f36-11e7-8fea-5719027de76b,165947854,CAPTURED
4e986211-fa3c-11e6-8209-d16697348e01,4e986212-fa3c-11e6-8209-d16697348e01,157233177,CAPTURED
544bacd1-e759-11e6-a25c-5765baa187fd,544bacd2-e759-11e6-a25c-5765baa187fd,150152201,CAPTURED
5e491040-e7f1-11e6-ab1d-03994f7eb5e4,5e491041-e7f1-11e6-ab1d-03994f7eb5e4,150269810,CAPTURED
60647131-e828-11e6-ab1d-03994f7eb5e4,60647132-e828-11e6-ab1d-03994f7eb5e4,150400505,CAPTURED
544bacd1-e759-11e6-a25c-5765baa187fd,61262f10-e76e-11e6-af3b-7158733217ec,150152214,CAPTURED
654781a1-e5c2-11e6-8bb9-5bd726531b57,6547a8b0-e5c2-11e6-8bb9-5bd726531b57,149631542,CAPTURED
67815901-e4e6-11e6-ab95-5d29689832f5,67815902-e4e6-11e6-ab95-5d29689832f5,149207894,CAPTURED
6dddee81-fa44-11e6-8268-097afe54775b,6dddee82-fa44-11e6-8268-097afe54775b,157233206,CAPTURED
6ef977d1-e423-11e6-80be-f79f5c5df6b4,6ef977d2-e423-11e6-80be-f79f5c5df6b4,148940129,CAPTURED
741d2e31-fa3c-11e6-8209-d16697348e01,741d2e32-fa3c-11e6-8209-d16697348e01,157233186,CAPTURED
75042701-e75d-11e6-bb88-29278ba75e56,75042702-e75d-11e6-bb88-29278ba75e56,150153454,CAPTURED
79a3d2a1-fa3c-11e6-8209-d16697348e01,79a3d2a2-fa3c-11e6-8209-d16697348e01,157233201,CAPTURED
7b95e7f1-e75f-11e6-a25c-5765baa187fd,7b95e7f2-e75f-11e6-a25c-5765baa187fd,150146469,CAPTURED
7cdc8820-e5f3-11e6-96e5-2b427dde34f0,7cdc8821-e5f3-11e6-96e5-2b427dde34f0,149704145,CAPTURED
879a1e60-e677-11e6-b472-27432057aca5,879a1e61-e677-11e6-b472-27432057aca5,149881701,CAPTURED
94bb9c21-e5c5-11e6-aff8-8f998f57f15a,94bb9c22-e5c5-11e6-aff8-8f998f57f15a,149645706,CAPTURED
960d7d01-e403-11e6-80be-f79f5c5df6b4,960d7d02-e403-11e6-80be-f79f5c5df6b4,148793154,CAPTURED
97a38361-e5d1-11e6-babf-c58c0e06c042,97a38362-e5d1-11e6-babf-c58c0e06c042,149679822,CAPTURED
9abecb01-e4fe-11e6-a06f-776b280525b1,9abecb02-e4fe-11e6-a06f-776b280525b1,149275521,CAPTURED
9c0211b1-e504-11e6-bf3e-b30cde314aff,9c0211b2-e504-11e6-bf3e-b30cde314aff,149292905,CAPTURED
9db17be1-0f34-11e7-9e3e-e32e4ebc9f10,9db17be2-0f34-11e7-9e3e-e32e4ebc9f10,165897550,CAPTURED
a59b8981-e668-11e6-b1fa-470d62ecbf0f,a59b8982-e668-11e6-b1fa-470d62ecbf0f,149850933,CAPTURED
a9ff90e1-e81e-11e6-9b56-17b7db198d94,a9ff90e2-e81e-11e6-9b56-17b7db198d94,150376905,CAPTURED
b19f5791-e4cc-11e6-9c79-9117e220dabe,b19f5792-e4cc-11e6-9c79-9117e220dabe,149100982,CAPTURED
b2d6ec61-e4fc-11e6-a06f-776b280525b1,b2d6ec62-e4fc-11e6-a06f-776b280525b1,149296693,CAPTURED
b56ad221-e506-11e6-a06f-776b280525b1,b56ad222-e506-11e6-a06f-776b280525b1,149287334,CAPTURED
bfa3df30-e834-11e6-b664-93ca4d46a5bb,bfa40640-e834-11e6-b664-93ca4d46a5bb,150402221,CAPTURED
c082ba91-e5d0-11e6-babf-c58c0e06c042,c082ba92-e5d0-11e6-babf-c58c0e06c042,149679809,CAPTURED
c4dd85b1-e72f-11e6-a25c-5765baa187fd,c4dd85b2-e72f-11e6-a25c-5765baa187fd,150059530,CAPTURED
c652cfc1-e43e-11e6-affb-a1bc020fe5db,c652cfc2-e43e-11e6-affb-a1bc020fe5db,148947345,CAPTURED
d31594c1-e4d6-11e6-9c79-9117e220dabe,d31594c2-e4d6-11e6-9c79-9117e220dabe,149127845,CAPTURED
d7a74dd1-0f47-11e7-8fea-5719027de76b,d7a74dd2-0f47-11e7-8fea-5719027de76b,165947837,CAPTURED
d83eda51-e4ff-11e6-a06f-776b280525b1,d83eda52-e4ff-11e6-a06f-776b280525b1,149275546,CAPTURED
d93d63c1-fd57-11e6-bbbd-e70f7294bc45,d93d63c2-fd57-11e6-bbbd-e70f7294bc45,158541069,CAPTURED
da0f0ff1-e5cf-11e6-83bf-8d41377a2a81,da0f0ff2-e5cf-11e6-83bf-8d41377a2a81,149679798,CAPTURED
dbcb4951-e758-11e6-bb88-29278ba75e56,dbcb4952-e758-11e6-bb88-29278ba75e56,150151374,CAPTURED
e19b7351-e72b-11e6-bb88-29278ba75e56,e19b7352-e72b-11e6-bb88-29278ba75e56,150057990,CAPTURED
e567a991-e807-11e6-ab1d-03994f7eb5e4,e567a992-e807-11e6-ab1d-03994f7eb5e4,150349793,CAPTURED
e888bac1-e509-11e6-9cb9-31d45cc864e1,e888bac2-e509-11e6-9cb9-31d45cc864e1,149306677,CAPTURED
e9f9aa71-e5ba-11e6-aff8-8f998f57f15a,e9f9aa72-e5ba-11e6-aff8-8f998f57f15a,149571077,CAPTURED
f3be5361-e41d-11e6-80be-f79f5c5df6b4,f3be5362-e41d-11e6-80be-f79f5c5df6b4,148902277,CAPTURED
f4b88d91-e5ac-11e6-b24c-f1af6c102c6a,f4b8b4a0-e5ac-11e6-b24c-f1af6c102c6a,149531813,CAPTURED
fe60d091-d487-11e6-8220-b53184c83ce1,fe60d092-d487-11e6-8220-b53184c83ce1,143738634,CAPTURED
feaa32c1-e6a8-11e6-b472-27432057aca5,feaa32c2-e6a8-11e6-b472-27432057aca5,149946582,CAPTURED